gene_name,n_syn,n_mis,n_non,n_spl,n_ind,wmis_cv,wnon_cv,wspl_cv,wind_cv,pmis_cv,ptrunc_cv,pallsubs_cv,pind_cv,qmis_cv,qtrunc_cv,qallsubs_cv,pglobal_cv,qglobal_cv,wmis_loc,wnon_loc,wspl_loc,pmis_loc,pall_loc,qmis_loc,qall_loc,areacutoff
TP53,3,68,4,13,27,20.920427431153595,51.918161675290996,51.918161675290996,21.876395939086294,0,0,0,8.234668262572966e-13,0,0,0,0,0,7.971387351497049,9.287939253893805,30.32590613952529,8.657417821522628e-7,1.6498711286061507e-9,2.1354963959755818e-5,2.441809270337103e-8,0.02
NOTCH1,14,129,34,18,158,5.049010570340437,25.71337016525966,25.71337016525966,19.733515910276466,0,0,0,1.9337022094900978e-19,0,0,0,0,0,3.672477476460021,19.25044902023971,17.749618804521468,4.219259297499889e-8,0,1.5611259400749589e-6,0,0.02
NOTCH2,2,81,25,10,66,5.958637285966048,33.31016506821731,33.31016506821731,8.523220064724917,2.876698879106243e-12,0,0,8.726198758793308e-8,7.095857235128733e-11,0,0,0,0,12.949400484260364,81.24418906298291,56.89031136932365,1.743793243136338e-8,0,1.29040699992089e-6,0,0.02
NOTCH3,1,35,20,10,33,3.1090867037057537,34.33838887451294,34.33838887451294,4.536907838070629,4.0355897151500564e-4,0,0,6.815479944544638e-4,0.005972672778422084,0,0,0,0,13.40490516590042,162.2189900723962,126.0350779409378,5.9243589227930826e-5,0,0.0010960064007167203,0,0.02
FAT1,8,57,34,1,101,2.059339559620146,20.398689767764058,20.398689767764058,7.0260550591995345,0.004857269817063914,0,0,9.142909242992237e-7,0.044929745807841204,0,0,0,0,2.4178342049490644,28.955515627811256,3.4821526626071986,0.009198529206637995,0,0.0972415944701731,0,0.02
ARID1A,4,18,12,3,44,1.303460282237176,14.098483861967845,14.098483861967845,6.1444736074657325,0.45641479621246606,1.296037721587595e-10,4.4123882325664e-10,2.1910849483419695e-5,0.9379805716765037,1.5984465232913674e-9,5.4419454868318935e-9,3.2163161023390785e-13,3.966789859551531e-12,1.6744196785048275,19.120904234664934,14.951613892012904,0.3257783957970305,4.898973338107737e-9,0.828906418480982,6.042067116999543e-8,0.02
CUL3,3,23,4,2,13,3.7972677924118656,9.659269167459657,9.659269167459657,5.3966623320329425,8.224786138777418e-5,1.3647951180650875e-4,4.12253120174455e-6,0.0010053547734301016,0.0015215854356738223,0.0014427834105259496,4.35810441327281e-5,8.414155328040351e-8,8.894964203928371e-7,2.255896386447337,6.6623789499229495,4.492381441111843,0.1420398340506781,0.07890696589515156,0.5005213199881038,0.48659295635343464,0.02
AJUBA,1,9,2,0,14,2.4952301664066026,6.9731269819171375,6.9731269819171375,8.29177489177489,0.049057435458213394,0.04311080649188037,0.029638298082085734,3.387631219609662e-5,0.25930358742198506,0.29839253387482645,0.18731205565205333,1.4871265122895494e-5,1.3755920238678332e-4,3.5567067182396803,15.533972345362537,0,0.15567673695790685,0.122936332986187,0.5208643389799954,0.5685805400611149,0.02
TP63,0,16,1,0,5,3.8598977927798126,2.51777496447455,2.51777496447455,2.3438570729319625,6.957030345571269e-4,0.43616982347194355,0.0030504652912491936,0.112404998309625,0.008580337426204565,0.7201217474938498,0.02821680394405504,0.003078481425536461,0.025311958387744235,1e4,1e4,0,0.0024483608803415047,0.016689757755893764,0.030196450857545225,0.15438025924201731,0.02
NFE2L2,3,13,1,0,7,2.8138689658139655,2.8657419950333742,2.8657419950333742,3.6875137513751373,0.009958511432111794,0.3796077547254253,0.030374927943576213,0.020905329069101624,0.07900200015972257,0.7022743462420369,0.18731205565205333,0.005309781605834396,0.039292383883174534,1.3968159587095605,1.8061966377234207,0,0.5893804487798588,0.8551352048950703,0.8900847593818276,0.9396074548739,0.02
BAI3,3,24,3,0,10,2.3566163976279855,2.704436461355475,2.704436461355475,2.096082293718538,0.010675945967530076,0.16336457130761273,0.027603362496856243,0.09979137461617797,0.07900200015972257,0.6354507218199054,0.18731205565205333,0.018991410275934095,0.12776039640173847,2.6023472269814585,4.793154680736106,0,0.0778386571583427,0.10341328119053494,0.4800050524764467,0.5379595235500302,0.02
CDH1,0,17,0,1,1,3.4137570689832124,2.3941994480131843,2.3941994480131843,0.3615326538316346,0.0016790449545202035,0.4587052100628102,0.006942332457560152,0.8584724659867969,0.017749903804927865,0.7279133175464384,0.05708140020660569,0.03649018333308929,0.22502279722071727,1e4,0,1e4,0.0011037603611522284,0.0068511881580570755,0.01633565334505298,0.07242684624231766,0.02
IRF6,2,9,0,0,3,2.6206010245706484,0,0,2.046367521367521,0.03608558539941942,0.4261241808286489,0.07209539279351196,0.20252035872306995,0.2225277766297531,0.7201217474938498,0.3346657658095427,0.0763136299192092,0.434400662617037,1.5747636891134422,0,0,0.5428576484959668,0.6056515025806142,0.8790182154822938,0.9396074548739,0.02
MUC17,13,56,2,0,20,1.6908688789733526,1.710552190124171,1.710552190124171,1.4207090936062898,0.028847785215312616,0.4988936487317165,0.08866260332008657,0.23114884728210636,0.19406691872119397,0.7288874070710918,0.36945223234663677,0.10016795335338169,0.5294591820107317,1.5616931511533776,1.9058849770980242,0,0.1300615523131019,0.3815923950619251,0.5000971562806734,0.8511249634889794,0.02
KMT2D,9,30,4,2,27,1.0443834079478935,2.6892464649773635,2.6892464649773635,1.5563921993499452,0.8823352451561135,0.0545219248156511,0.14264313345698176,0.1784215427292407,0.9462725817616291,0.33621853636318183,0.4589387772094196,0.11888018792277766,0.5864755937523698,1.3040828944381833,3.146884733912543,3.878227921892728,0.4747138717857321,0.19169763341962898,0.8790182154822938,0.6832638234084895,0.02
ARID2,9,19,3,2,8,1.1256025130839802,3.3769125715895685,3.3769125715895685,1.3909949164851128,0.7159233603419026,0.032837000046048614,0.10165639135318694,0.27757098851181466,0.9430814173891773,0.29839253387482645,0.39060848262748854,0.12888999580488736,0.596116230597604,0.6864140797469788,1.7021912548189082,3.0049523865921235,0.3642377740911904,0.21208005639453043,0.828906418480982,0.6832638234084895,0.02
SETD2,6,28,0,0,3,1.5587760298919762,0,0,0.37337231968810924,0.15094690137309663,0.08972615636998527,0.05269074260983553,0.8710575780296614,0.5319081286480548,0.4796826585208933,0.27850821093770206,0.18732095959407435,0.7194560977724982,1.4522855735816655,0,0,0.3883681460994296,0.17464207193532433,0.828906418480982,0.6801849117481052,0.02
KMT2A,10,40,2,1,23,1.4193100442756224,1.3766704107631969,1.3766704107631969,1.8480661129289369,0.19427453796512129,0.6198020541746048,0.4247559962627063,0.11117522419073415,0.6250572091051728,0.740217158576464,0.8147269814557999,0.1913868737421487,0.7194560977724982,1.3490964678038493,1.1673919381843112,1.7260280439562061,0.3832430190963755,0.8347687657329959,0.828906418480982,0.9396074548739,0.02
CDKN2A.p14arf,0,0,0,1,0,0,20.425566037647986,20.425566037647986,0,0.17741419880899967,0.044355646927339065,0.04886907576633337,1,0.5967568505393626,0.29839253387482645,0.27817781590066687,0.1963857800208103,0.7194560977724982,0,0,1e4,0.9999882007239708,0.02793826131472199,0.9999882007239708,0.2159305095808759,0.02
PIK3CA,1,14,0,0,2,2.058956694534639,0,0,0.5972560024945432,0.0728426607392969,0.2322332206329345,0.07236016558044167,0.7266470933572788,0.33689730591924816,0.6762288124030676,0.3346657658095427,0.2074510505786047,0.7194560977724982,4.0348896621671875,0,0,0.09800070841891606,0.16023746297808406,0.5000971562806734,0.6801849117481052,0.02
SCN1A,5,19,0,0,9,1.290690162074971,0,0,1.4294029850746266,0.45950132473002114,0.1333222190405976,0.2044184853639528,0.2578424259964088,0.9379805716765037,0.5803437770002483,0.6050787166773003,0.20782630154648996,0.7194560977724982,1.1876163043799426,0,0,0.7280141154738391,0.4003157323559128,0.9795099008193472,0.8511249634889794,0.02
ADAM29,4,9,0,0,6,1.268191490699982,0,0,2.3330085261875757,0.5824934401138142,0.363927954411409,0.5471945164056561,0.10011547950999411,0.9430814173891773,0.7022743462420369,0.8147269814557999,0.21389235339182378,0.7194560977724982,0.6373659534143992,0,0,0.46777739504646365,0.6380620073325131,0.8790182154822938,0.9396074548739,0.02
PTEN,0,7,0,0,1,2.696759627207674,0,0,0.7901815181518151,0.05509696658040031,0.4623233233065217,0.110108624284041,0.6515714054327766,0.27181170179664155,0.7279133175464384,0.39060848262748854,0.2607634330516142,0.8045444495638001,1e4,0,0,0.05986293623907335,0.19983304769028365,0.40271429833558436,0.6832638234084895,0.02
FAT4,7,48,3,0,11,1.7349412942695661,2.0466373656772023,2.0466373656772023,0.7048507961996521,0.04289280117154104,0.29343154319443177,0.11084835317807107,0.647805108029762,0.24415902205338746,0.6762288124030676,0.39060848262748854,0.2609333349936649,0.8045444495638001,2.2547949907333313,3.0818481166121394,0,0.02662394202872076,0.10904584936824935,0.19701717101253363,0.5379595235500302,0.02
TRIOBP,2,11,4,0,3,0.9473374379627203,3.9462325394592686,3.9462325394592686,0.40477599323753166,0.897146047355354,0.03669467303878682,0.0898667592194522,0.8511856566864829,0.94841153577566,0.29839253387482645,0.36945223234663677,0.2731233056641541,0.8084449847658961,2.1796065574374963,11.803517054692383,0,0.26948980448741267,0.029179798592010253,0.7670094435410976,0.2159305095808759,0.02
SALL1,5,18,0,0,3,1.7767871105877213,0,0,0.7227924528301886,0.10024584980052853,0.3198379518122617,0.1345483233038759,0.6473978260859407,0.4363642873670065,0.6762288124030676,0.45257163293121894,0.2997001868877911,0.8529928396037132,1.345516739086853,0,0,0.5464167285430475,0.5729383186397139,0.8790182154822938,0.9396074548739,0.02
PTCH1,4,12,1,1,7,1.1743728995332474,2.3088129380124705,2.3088129380124705,1.5432550644567218,0.6842949372538392,0.3186987429771361,0.5929685845740224,0.23560352992757122,0.9430814173891773,0.6762288124030676,0.8453081275534636,0.41467645327626845,0.9643289834370775,1.1560995204740425,1.8874716082089722,2.8560929978155136,0.7993219633412072,0.8242397114620833,0.9999882007239708,0.9396074548739,0.02
